Price,Location,Property Ref,Date Added,Last Updated,market Status,Type,Price_cat,Bedroom,Bathroom,Toilets,Town
140000000,"Citec Estste. Serene Neighborhood, Mbora (Nbora), Abuja",2235312,2024-05-02,2024-05-17, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Mbora (Nbora)
150000000,"Life Camp, Abuja",2235251,2024-05-02,2024-05-02, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Life Camp
120000000,"Lugbe District, Abuja",2234974,2024-05-02,2024-05-02, Available,Detached Duplex,Millions,4.0,4.0,5.0,Lugbe District
250000000,"Guzape District, Abuja",2175497,2024-03-23,2024-05-02, Available,Detached Duplex,Millions,6.0,6.0,7.0,Guzape District
500000000,"Extension, Katampe Extension, Katampe, Abuja",2234866,2024-05-02,2024-05-06, Available,Detached Duplex,Millions,5.0,5.0,6.0,Katampe
180000000,"Sabon Lugbe, Lugbe District, Abuja",2234745,2024-05-02,2024-05-06, Available,Detached Duplex,Millions,4.0,4.0,5.0,Lugbe District
230000000,"Gaduwa, Abuja",2234674,2024-05-02,2024-05-02, Available,Detached Duplex,Millions,4.0,4.0,5.0,Gaduwa
175000000,"Lifecamp, Life Camp, Abuja",2234657,2024-05-02,2024-05-02, Available,Semi-detached Duplex,Millions,4.0,4.0,5.0,Life Camp
140000000,"Efab Verizon, Karsana, Abuja",2234636,2024-05-02,2024-05-02, Available,Detached Duplex,Millions,4.0,4.0,5.0,Karsana
210000000,"Gwarinpa, Abuja",2234622,2024-05-02,2024-05-15, Available,Detached Duplex,Millions,4.0,4.0,5.0,Gwarimpa
350000000,"Apo Resettlement, Apo, Abuja",2234592,2024-05-02,2024-05-14, Available,Detached Duplex,Millions,6.0,6.0,7.0,Apo
460000000,"Gwarinpa, Abuja",2234587,2024-05-02,2024-05-02, Available,Detached Duplex,Millions,6.0,6.0,7.0,Gwarimpa
250000000,"Idu Industrial, Abuja",2234581,2024-05-02,2024-05-14, Available,Detached Duplex,Millions,4.0,4.0,5.0,Idu Industrial
400000000,"Off Ademola Adetokunbo Crescent, Wuse 2, Abuja",2234538,2024-05-02,2024-05-15, Available,Terraced Duplex,Millions,5.0,7.0,6.0,Wuse 2
200000000,"Wuye, Abuja",2234525,2024-05-02,2024-05-02, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Wuye
80000000,"By Sungold, Galadimawa, Abuja",2234453,2024-05-02,2024-05-14, Available,Detached Bungalow,Millions,3.0,3.0,4.0,Galadimawa
160000000,"Colour Code Estate, Kaura, Abuja",2234338,2024-05-02,2024-05-17, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Kaura
90000000,"Idu Industrial, Abuja",2234168,2024-05-02,2024-05-02, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Idu Industrial
140000000,"Citec Estate, Mbora (Nbora), Abuja",2234039,2024-05-02,2024-05-13, Available,Terraced Duplex,Millions,4.0,5.0,5.0,Mbora (Nbora)
400000000,"Efab Metropolis Estate, Gwarinpa, Abuja",2008335,2023-11-19,2024-04-23, Available,Detached Duplex,Millions,6.0,7.0,7.0,Gwarimpa
55000000,"By American International School, Durumi, Abuja",2233917,2024-05-02,2024-05-02, Available,Block of Flats,Millions,3.0,4.0,4.0,Durumi
150000000,"Katampe (Main), Katampe, Abuja",2233889,2024-05-02,2024-05-02, Available,Terraced Duplex,Millions,4.0,5.0,5.0,Katampe
100000000,"Life Camp, Abuja",2233804,2024-05-02,2024-05-02, Available,Terraced Duplex,Millions,4.0,5.0,5.0,Life Camp
600000000,"Guzape District, Abuja",2233560,2024-05-02,2024-05-06, Available,Detached Duplex,Millions,6.0,8.0,8.0,Guzape District
1200000,"Asokoro, Asokoro District, Abuja",2233536,2024-05-02,2024-05-13, Available,Detached Duplex,Millions,5.0,7.0,7.0,Asokoro District
480000000,"Efab Estate, Gwarinpa, Abuja",2233425,2024-05-02,2024-05-02, Available,Detached Duplex,Millions,6.0,8.0,8.0,Gwarimpa
170000000,"Gwarimpa Main, Gwarinpa, Abuja",2233326,2024-05-01,2024-05-16, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Gwarimpa
170000000,"Games Village, Kaura, Abuja",2233118,2024-05-01,2024-05-02, Available,Semi-detached Duplex,Millions,4.0,5.0,5.0,Kaura
230000000,"Guzape District, Abuja",2233106,2024-05-01,2024-05-01, Available,Terraced Duplex,Millions,4.0,5.0,5.0,Guzape District
950000000,"Katampe Extension, Katampe, Abuja",2233091,2024-05-01,2024-05-03, Available,Detached Duplex,Millions,9.0,10.0,10.0,Katampe
250000000,"Katampe Extension, Katampe, Abuja",2233054,2024-05-01,2024-05-01, Available,Terraced Duplex,Millions,4.0,5.0,5.0,Katampe
55000000,"Gwarinpa, Abuja",2233031,2024-05-01,2024-05-01, Available,Block of Flats,Millions,2.0,3.0,3.0,Gwarimpa
250000000,"Mabushi, Abuja",2233016,2024-05-01,2024-05-01, Available,Semi-detached Duplex,Millions,5.0,6.0,6.0,Mabushi
450000000,"Katampe, Abuja",2232999,2024-05-01,2024-05-01, Available,Detached Duplex,Millions,5.0,6.0,6.0,Katampe
50000000,"Sabon Lugbe, Lugbe District, Abuja",2232847,2024-05-01,2024-05-01, Available,Detached Duplex,Millions,4.0,4.0,5.0,Lugbe District
380000000,"Guzape District, Abuja",2155019,2024-03-11,2024-04-26, Available,Semi-detached Duplex,Millions,5.0,5.0,6.0,Guzape District
110000000,"Lugbe District, Abuja",2232676,2024-05-01,2024-05-03, Available,Detached Duplex,Millions,5.0,5.0,5.0,Lugbe District
1250000000,"Maitama District, Abuja",2232446,2024-05-01,2024-05-01, Available,Detached Duplex,Billions,4.0,4.0,5.0,Maitama District
900000000,"Mabushi, Abuja",2232427,2024-05-01,2024-05-11, Available,Detached Duplex,Millions,6.0,7.0,7.0,Mabushi
400000000,"Katampe Extension, Katampe, Abuja",2232113,2024-05-01,2024-05-04, Available,Detached Duplex,Millions,4.0,4.0,5.0,Katampe
100000000,"Life Camp, Abuja",2232011,2024-05-01,2024-05-01, Available,Semi-detached Duplex,Millions,4.0,4.0,5.0,Life Camp
360000000,"Life Camp, Abuja",2231997,2024-05-01,2024-05-01, Available,Detached Duplex,Millions,5.0,5.0,6.0,Life Camp
165000000,"Gwarinpa, Abuja",2231879,2024-05-01,2024-05-01, Available,Detached Duplex,Millions,5.0,5.0,6.0,Gwarimpa
250000000,"Guzape District, Abuja",2231594,2024-04-30,2024-04-30, Available,Terraced Duplex,Millions,5.0,5.0,6.0,Guzape District
18000000,"Dutse, Abuja",2231237,2024-04-30,2024-05-02, Available,Detached Bungalow,Millions,3.0,3.0,4.0,Dutse
1300000000,"Maitama District, Abuja",2231234,2024-04-30,2024-05-12, Available,Detached Duplex,Billions,8.0,8.0,9.0,Maitama District
530000000,"Guzape District, Abuja",2231213,2024-04-30,2024-04-30, Available,Detached Duplex,Millions,4.0,5.0,5.0,Guzape District
550000000,"Katampe Extension, Katampe, Abuja",2231200,2024-04-30,2024-04-30, Available,Detached Duplex,Millions,5.0,6.0,6.0,Katampe
250000000,"Opposite Games Village Estate, Kukwaba, Abuja",2230921,2024-04-30,2024-04-30, Available,Semi-detached Duplex,Millions,4.0,4.0,5.0,Kukwaba
280000000,"Katampe Extension, Katampe, Abuja",2230908,2024-04-30,2024-04-30, Available,Terraced Duplex,Millions,4.0,5.0,5.0,Katampe
75000000,"Leisure Court Estate, Lugbe District, Abuja",2230685,2024-04-30,2024-05-17, Available,House,Millions,4.0,4.0,5.0,Lugbe District
450000000,"Utako, Abuja",2230637,2024-04-30,2024-04-30, Available,Semi-detached Duplex,Millions,4.0,4.0,5.0,Utako
180000000,"Kado, Abuja",2230420,2024-04-30,2024-05-17, Available,House,Millions,4.0,4.0,5.0,Kado
130000000,"Nizayime Hospital, Karmo, Abuja",2230373,2024-04-30,2024-05-17, Available,Terraced Duplex,Millions,3.0,3.0,4.0,Karmo
